n,heapsort.ticks
150000,16506702
180000,20128443
210000,23780543
240000,27460879
270000,31170175
300000,34959165
330000,38762454
360000,42592252
390000,46433219
420000,50295198
450000,54153965
480000,58035626
510000,61944211
540000,65874298
570000,69835519
600000,73814207
630000,77804851
660000,81812961
690000,85829464
720000,89848694
