n,heapsort.ticks
150000,15601112
180000,19020900
210000,22468100
240000,25940278
270000,29433706
300000,33002349
330000,36605101
360000,40205756
390000,43825641
420000,47461621
450000,51104668
480000,54755007
510000,58419269
540000,62108941
570000,65864679
600000,69607745
630000,73370889
660000,77160164
690000,80960625
720000,84734081
750000,88530723
780000,92344217
810000,96154436
840000,99955736
870000,103791953
900000,107619133
930000,111444407
960000,115265396
990000,119109769
1020000,122942796
