n,doubling.ticks
233,1178
234,1179
235,1180
236,1181
237,1182
238,1183
239,1184
240,1185
241,1186
242,1187
243,1188
244,1189
245,1190
246,1191
247,1192
248,1193
249,1194
250,1195
251,1196
252,1197
253,1198
254,1199
255,1200
256,1201
257,1202
258,1203
259,1204
260,1205
261,1206
262,1207
263,1208
264,1209
265,1210
266,1211
267,1212
268,1213
269,1214
270,1215
271,1216
272,1217
273,1218
274,1219
275,1220
276,1221
277,1222
278,1223
279,1224
280,1225
281,1226
282,1227
283,1228
284,1229
285,1230
286,1231
287,1232
288,1233
289,1234
290,1235
291,1236
292,1237
293,1238
294,1239
295,1240
296,1241
297,1242
298,1243
299,1244
300,1245
301,1246
302,1247
303,1248
304,1249
305,1250
306,1251
307,1252
308,1253
309,1254
310,1255
311,1256
312,1257
313,1258
314,1259
315,1260
316,1261
317,1262
318,1263
319,1264
320,1265
321,2227
322,2228
323,2229
324,2230
325,2231
326,2232
327,2233
328,2234
329,2235
330,2236
331,2237
332,2238
333,2239
334,2240
335,2241
336,2242
337,2243
338,2244
339,2245
340,2246
341,2247
342,2248
343,2249
344,2250
345,2251
346,2252
347,2253
348,2254
349,2255
350,2256
351,2257
352,2258
353,2259
354,2260
355,2261
356,2262
357,2263
358,2264
359,2265
360,2266
361,2267
362,2268
363,2269
364,2270
365,2271
366,2272
367,2273
368,2274
369,2275
370,2276
371,2277
372,2278
373,2279
374,2280
375,2281
376,2282
377,2283
378,2284
379,2285
380,2286
381,2287
382,2288
383,2289
384,2290
385,2291
386,2292
387,2293
388,2294
389,2295
390,2296
391,2297
392,2298
393,2299
394,2300
395,2301
396,2302
397,2303
398,2304
399,2305
400,2306
401,2307
402,2308
403,2309
404,2310
405,2311
406,2312
407,2313
408,2314
409,2315
410,2316
411,2317
412,2318
413,2319
414,2320
415,2321
416,2322
417,2323
418,2324
419,2325
420,2326
421,2327
422,2328
423,2329
424,2330
425,2331
426,2332
427,2333
428,2334
429,2335
430,2336
431,2337
432,2338
433,2339
434,2340
435,2341
436,2342
437,2343
438,2344
439,2345
440,2346
441,2347
442,2348
443,2349
444,2350
445,2351
446,2352
447,2353
448,2354
449,2355
450,2356
451,2357
452,2358
453,2359
454,2360
455,2361
456,2362
457,2363
458,2364
459,2365
460,2366
461,2367
462,2368
463,2369
464,2370
465,2371
466,2372
467,2373
468,2374
469,2375
470,2376
471,2377
472,2378
473,2379
474,2380
475,2381
476,2382
477,2383
478,2384
479,2385
480,2386
481,2387
482,2388
483,2389
484,2390
485,2391
486,2392
487,2393
488,2394
489,2395
490,2396
491,2397
492,2398
493,2399
494,2400
495,2401
496,2402
497,2403
498,2404
499,2405
500,2406
501,2407
502,2408
503,2409
504,2410
505,2411
506,2412
507,2413
508,2414
509,2415
510,2416
511,2417
512,2418
513,2419
514,2420
515,2421
516,2422
517,2423
518,2424
519,2425
520,2426
521,2427
522,2428
523,2429
524,2430
525,2431
526,2432
527,2433
528,2434
529,2435
530,2436
531,2437
532,2438
533,2439
534,2440
535,2441
536,2442
537,2443
538,2444
539,2445
540,2446
541,2447
542,2448
543,2449
544,2450
545,2451
546,2452
547,2453
548,2454
549,2455
550,2456
551,2457
552,2458
553,2459
554,2460
555,2461
556,2462
557,2463
558,2464
559,2465
560,2466
561,2467
562,2468
563,2469
564,2470
565,2471
566,2472
567,2473
568,2474
569,2475
570,2476
571,2477
572,2478
573,2479
574,2480
575,2481
576,2482
577,2483
578,2484
579,2485
580,2486
581,2487
582,2488
583,2489
584,2490
585,2491
586,2492
587,2493
588,2494
589,2495
590,2496
591,2497
592,2498
593,2499
594,2500
595,2501
596,2502
597,2503
598,2504
599,2505
600,2506
601,2507
602,2508
603,2509
604,2510
605,2511
606,2512
607,2513
608,2514
609,2515
610,2516
611,2517
612,2518
613,2519
614,2520
615,2521
616,2522
617,2523
618,2524
619,2525
620,2526
621,2527
622,2528
623,2529
624,2530
625,2531
626,2532
627,2533
628,2534
629,2535
630,2536
631,2537
632,2538
633,2539
634,2540
635,2541
636,2542
637,2543
638,2544
639,2545
640,2546
641,4468
642,4469
643,4470
644,4471
645,4472
646,4473
647,4474
648,4475
649,4476
650,4477
651,4478
652,4479
653,4480
654,4481
655,4482
656,4483
657,4484
658,4485
659,4486
660,4487
661,4488
662,4489
663,4490
664,4491
665,4492
666,4493
667,4494
668,4495
669,4496
670,4497
671,4498
672,4499
673,4500
674,4501
675,4502
676,4503
677,4504
678,4505
679,4506
680,4507
681,4508
682,4509
683,4510
684,4511
685,4512
686,4513
687,4514
688,4515
689,4516
690,4517
691,4518
692,4519
693,4520
694,4521
695,4522
696,4523
697,4524
698,4525
699,4526
700,4527
701,4528
702,4529
703,4530
704,4531
705,4532
706,4533
707,4534
708,4535
709,4536
710,4537
711,4538
712,4539
713,4540
714,4541
715,4542
716,4543
717,4544
718,4545
719,4546
720,4547
721,4548
722,4549
723,4550
724,4551
725,4552
726,4553
727,4554
728,4555
729,4556
730,4557
731,4558
732,4559
733,4560
734,4561
735,4562
736,4563
737,4564
738,4565
739,4566
740,4567
741,4568
742,4569
743,4570
744,4571
745,4572
746,4573
747,4574
748,4575
749,4576
750,4577
751,4578
752,4579
753,4580
754,4581
755,4582
756,4583
757,4584
758,4585
759,4586
760,4587
761,4588
762,4589
763,4590
764,4591
765,4592
766,4593
767,4594
768,4595
769,4596
770,4597
771,4598
772,4599
773,4600
774,4601
775,4602
776,4603
777,4604
778,4605
779,4606
780,4607
781,4608
782,4609
783,4610
784,4611
785,4612
786,4613
787,4614
788,4615
789,4616
790,4617
791,4618
792,4619
793,4620
794,4621
795,4622
796,4623
797,4624
798,4625
799,4626
800,4627
801,4628
802,4629
803,4630
804,4631
805,4632
806,4633
807,4634
808,4635
809,4636
810,4637
811,4638
812,4639
813,4640
814,4641
815,4642
816,4643
817,4644
818,4645
819,4646
820,4647
821,4648
822,4649
823,4650
824,4651
825,4652
826,4653
827,4654
828,4655
829,4656
830,4657
831,4658
832,4659
833,4660
834,4661
835,4662
836,4663
837,4664
838,4665
839,4666
840,4667
841,4668
842,4669
843,4670
844,4671
845,4672
846,4673
847,4674
848,4675
849,4676
850,4677
851,4678
852,4679
853,4680
854,4681
855,4682
856,4683
857,4684
858,4685
859,4686
860,4687
861,4688
862,4689
863,4690
864,4691
865,4692
866,4693
867,4694
868,4695
869,4696
870,4697
871,4698
872,4699
873,4700
874,4701
875,4702
876,4703
877,4704
878,4705
879,4706
880,4707
881,4708
882,4709
883,4710
884,4711
885,4712
886,4713
887,4714
888,4715
889,4716
890,4717
891,4718
892,4719
893,4720
894,4721
895,4722
896,4723
897,4724
898,4725
899,4726
900,4727
901,4728
902,4729
903,4730
904,4731
905,4732
906,4733
907,4734
908,4735
909,4736
910,4737
911,4738
912,4739
913,4740
914,4741
915,4742
916,4743
917,4744
918,4745
919,4746
920,4747
921,4748
922,4749
923,4750
924,4751
925,4752
926,4753
927,4754
928,4755
929,4756
930,4757
931,4758
932,4759
933,4760
934,4761
935,4762
936,4763
937,4764
938,4765
939,4766
940,4767
941,4768
942,4769
943,4770
944,4771
945,4772
946,4773
947,4774
948,4775
949,4776
950,4777
951,4778
952,4779
953,4780
954,4781
955,4782
956,4783
957,4784
958,4785
959,4786
960,4787
961,4788
962,4789
963,4790
964,4791
965,4792
966,4793
967,4794
968,4795
969,4796
970,4797
971,4798
972,4799
973,4800
974,4801
975,4802
976,4803
977,4804
978,4805
979,4806
980,4807
981,4808
982,4809
983,4810
984,4811
985,4812
986,4813
987,4814
988,4815
989,4816
990,4817
991,4818
992,4819
993,4820
994,4821
995,4822
996,4823
997,4824
998,4825
999,4826
