n,heapsort.time
150000,74
180000,96
210000,131
240000,158
270000,188
300000,220
330000,251
360000,285
390000,386
420000,316
450000,351
480000,436
510000,592
540000,516
570000,661
600000,726
630000,778
660000,818
690000,890
720000,962
