n,heapsort.time
150000,74
180000,103
210000,134
240000,164
270000,174
300000,203
330000,257
360000,290
390000,328
420000,364
450000,483
480000,449
510000,431
540000,497
570000,509
600000,591
630000,799
660000,715
690000,885
720000,949
750000,1004
780000,1062
810000,998
840000,993
870000,1052
900000,908
930000,984
