n,heapsort.time
150000,76
180000,100
210000,126
240000,157
270000,190
300000,218
330000,304
360000,360
390000,339
420000,356
450000,396
480000,432
510000,568
540000,610
570000,673
600000,714
630000,780
660000,832
690000,874
720000,946
750000,695
780000,763
810000,1110
840000,1161
870000,1008
900000,1290
930000,1339
960000,1375
990000,1476
1020000,1502
