n,list-addlast-notail.time
0,0
500,1
1000,1
1500,2
2000,4
2500,6
3000,9
3500,13
4000,16
4500,19
5000,26
5500,30
6000,37
6500,42
7000,47
7500,56
8000,63
8500,79
9000,83
9500,92
10000,101
10500,109
11000,117
11500,129
12000,155
12500,157
13000,175
13500,183
14000,196
14500,208
