n,allocates.time
0,1
500,51
1000,40
1500,45
2000,54
2500,63
3000,64
3500,66
4000,86
4500,96
5000,89
5500,100
6000,110
6500,111
7000,137
7500,183
8000,150
8500,151
9000,164
9500,169
