n,heapsort.ticks
125000,13535078
150000,16505368
175000,19519091
200000,22558836
225000,25615250
250000,28694091
275000,31804742
300000,34949313
325000,38130366
350000,41304713
375000,44515994
400000,47726865
425000,50932052
450000,54151159
475000,57393478
500000,60642684
