n,heapsort.ticks
150000,16505427
180000,20123073
210000,23777551
240000,27459655
270000,31181399
300000,34954248
330000,38770990
360000,42591033
390000,46440234
420000,50289486
450000,54160467
480000,58045744
510000,61948028
540000,65872268
570000,69842051
600000,73811554
630000,77806069
660000,81820693
690000,85826243
720000,89854777
750000,93901178
780000,97949372
810000,101989675
840000,106040871
870000,110090363
900000,114172214
930000,118252145
